James,F,5304407,0.01451678700000
John,F,5260831,0.01439753000000
Robert,F,4970386,0.01360265800000
Michael,F,4579950,0.01253413600000
William,F,4226608,0.01156713000000
Mary,F,4169663,0.01141128700000
David,F,3787547,0.01036553400000
Joseph,F,2695970,0.00737817100000
Richard,F,2638187,0.00722003400000
Charles,F,2433540,0.00665996800000
Thomas,F,2381034,0.00651627300000
Christopher,F,2196198,0.00601042500000
Daniel,F,2039641,0.00558196900000
Matthew,F,1738699,0.00475836800000
Elizabeth,F,1704140,0.00466378900000
Patricia,F,1608260,0.00440139100000
Jennifer,F,1584426,0.00433616300000
Anthony,F,1506437,0.00412272700000
George,F,1495736,0.00409344200000
Linda,F,1480592,0.00405199600000
Barbara,F,1459870,0.00399528600000
